Категория,Значение
A,3.39717
B,65.87607
C,0.1143
C,60.12513
B,28.84114
A,68.19623
D,2.98582
C,62.96924
D,61.24553
B,15.327
C,64.06243
C,79.86347
C,20.43473
B,72.76245
A,44.97987
B,33.58216
C,75.84538
A,23.92593
C,52.99969
B,25.38798
C,19.56317
B,11.63188
A,85.03664
C,17.3992
A,23.14199
B,69.60308
D,72.02259
A,91.85226
C,58.03112
C,98.80221
D,86.18196
C,36.80832
D,75.17673
B,60.36317
C,11.02818
C,2.12226
D,84.23433
B,19.5868
A,2.37594
C,69.28632
B,27.48332
C,89.52915
A,51.24246
D,86.30864
B,31.74562
D,2.96395
D,27.79931
B,99.04105
C,52.05282
D,81.09544
C,90.00202
B,94.90464
C,99.55154
B,21.49414
B,64.52959
A,78.32796
D,91.74971
B,85.36943
D,81.77761
C,56.89616
C,72.04462
A,96.78603
C,87.42965
B,23.45506
B,85.03926
D,90.55831
C,37.55938
C,71.89521
D,94.86095
D,90.12776
C,35.13037
A,0.32076
B,63.13418
A,45.37979
A,37.95267
C,17.01525
A,87.0178
A,20.42038
D,31.39937
A,74.79757
D,69.40741
C,22.69744
D,61.50493
A,56.87583
C,73.25478
D,19.47023
A,22.22069
D,45.20059
C,63.19905
A,18.78702
C,74.8468
B,92.83603
D,21.02957
B,70.63802
D,62.30811
B,94.36703
A,13.73319
A,37.14989
B,84.66847
B,71.00859
A,59.39053
C,82.14176
C,19.05152
D,91.03472
A,22.79085
D,16.56485
D,35.84795
C,2.30506
C,78.088
B,99.38747
A,5.7152
A,69.93129
B,82.27477
C,98.86538
B,74.14547
A,38.68374
D,97.98341
B,41.06254
A,53.55357
A,84.96714
B,26.70824
C,45.4836
A,56.85796
D,2.27552
B,39.63615
C,79.34432
D,82.01957
A,94.42899
B,81.08335
C,46.50585
C,97.54116
C,36.44494
D,86.05332
B,71.10408
C,90.55781
D,86.4393
B,59.02859
D,12.29926
D,84.42142
C,66.16671
B,80.3777
C,78.84222
C,88.62698
C,80.90447
D,25.39411
D,64.53457
C,8.26681
A,10.26565
B,14.36128
C,80.81858
A,88.64991
A,93.61685
A,34.84433
D,7.13662
C,52.28222
A,43.8533
C,66.64263
D,86.38281
B,51.23694
D,82.36354
C,35.07684
C,26.84844
A,0.17039
D,77.35679
A,18.30425
D,3.23915
A,14.73704
C,56.01652
C,64.95742
B,50.48542
D,82.41274
C,47.23946
A,74.08498
B,48.11346
D,69.1158
B,83.36125
D,11.26952
B,35.54134
A,93.89557
A,26.14907
B,53.73372
B,72.79583
B,61.70213
C,55.17395
A,20.79352
C,69.42458
C,7.5563
C,43.5471
C,70.35316
B,2.9479
D,84.78454
B,60.65342
D,89.50407
B,33.06471
A,36.65399
B,3.82254
C,40.93812
B,37.07525
D,91.1051
C,81.24474
C,44.71934
D,25.98892
B,49.29181
D,40.49257
B,39.51164
D,82.36289
A,65.83911
B,27.08044
A,23.78976
A,23.97242
A,56.6358
D,46.06025
D,64.32215
C,9.92787
A,34.79612
B,42.06804
D,95.8822
C,62.38215
D,66.97645
C,42.05524
A,60.19373
B,97.91263
B,97.21214
C,33.84467
A,2.13104
B,73.85023
C,2.99414
C,26.04389
D,90.28231
C,55.8403
B,74.0594
B,58.0097
C,32.75131
A,37.10568
C,24.75388
D,32.86096
D,58.3386
A,8.74543
C,60.02718
C,61.30832
B,82.02955
C,66.91926
C,44.47595
B,15.93558
C,20.25303
D,19.38978
C,31.78792
A,36.69315
A,3.67429
C,97.74301
B,85.60584
A,77.85963
C,71.06748
C,42.57291
A,27.85181
D,40.86729
B,27.84356
D,0.49559
A,85.77577
D,51.56755
A,98.23861
A,22.58835
A,43.01751
A,82.52886
C,32.58203
C,63.7012
B,7.86943
B,84.89418
C,52.51797
D,35.87481
A,86.61301
B,56.85989
A,0.53598
D,5.79496
D,3.95194
A,60.89568
A,19.77457
D,65.5007
C,52.58097
A,35.38768
A,3.83278
C,76.9043
B,32.58185
C,85.03519
D,45.85697
D,67.67234
A,43.10871
C,43.2281
A,39.41746
A,43.07742
A,97.36247
D,69.99842
A,91.03898
C,46.58918
B,26.84609
D,49.43309
B,57.08444
C,31.40497
C,74.4467
A,58.86526
A,71.04112
B,19.13061
B,87.85362
B,36.66604
A,51.70519
B,56.65024
C,69.22566
C,2.08506
C,53.78365
D,96.99259
C,96.84578
C,62.02897
B,15.55858
B,83.8243
B,40.2298
D,68.01582
A,88.59758
B,14.80763
A,70.80593
A,85.17625
D,9.26415
C,12.638
B,41.27516
A,8.50264
A,47.77552
B,29.85668
B,79.39395
B,25.16119
B,31.2589
A,49.29499
D,76.43988
D,40.32494
D,42.65743
C,68.01727
D,56.81171
C,56.04832
D,2.14709
D,80.95543
D,83.5335
A,68.27107
B,20.44205
D,92.04875
A,5.28711
B,71.21675
D,36.33623
C,94.44209
C,68.23944
C,67.07003
D,38.93191
C,24.77836
D,38.77761
C,57.37778
D,1.32331
B,40.00602
B,90.08701
D,68.73956
D,64.39376
D,90.43626
D,92.74819
C,25.4285
D,82.21759
B,73.33348
C,89.0697
C,14.97395
D,73.75871
B,85.77559
D,92.41079
C,45.32411
D,56.99195
D,43.58441
B,94.60705
D,23.39337
B,75.45461
A,91.82821
C,29.63744
B,50.0656
C,83.41021
D,53.05489
D,53.32598
D,43.82719
B,21.52955
B,57.99401
B,45.6135
A,71.96222
A,50.59203
B,46.53917
D,0.93399
D,14.85354
D,77.70988
A,46.55995
B,32.65943
B,29.46414
B,5.72789
A,53.78528
C,40.04872
A,47.4482
D,85.07534
B,45.60074
B,19.88525
B,29.82668
A,91.71938
C,78.02157
C,38.22193
B,85.925
B,15.007
B,36.82107
B,92.40827
D,90.37996
D,89.41701
A,32.04464
A,71.08403
C,91.84229
A,89.27097
A,38.41175
A,17.86679
A,66.85756
A,5.12101
B,57.16286
A,81.25038
A,41.65978
C,59.02897
A,41.96374
D,83.23504
C,91.93861
D,8.09855
C,53.98843
A,43.82949
A,54.30469
B,26.47153
A,2.8086
D,1.44365
D,74.49379
D,37.98176
A,52.56459
B,43.69237
B,69.20157
B,99.86376
D,70.26817
B,70.01603
A,7.13933
B,52.17707
C,57.83045
C,10.17953
B,86.65217
A,0.81529
A,78.52009
D,34.67579
B,86.97963
C,11.32805
D,13.36106
A,49.09041
C,93.27055
A,66.51849
A,68.90776
D,24.69633
B,63.54909
C,32.77347
C,65.42552
A,54.32896
C,28.57203
A,94.81867
A,35.60137
D,71.37599
A,2.86066
C,19.02671
B,35.6012
A,8.4471
C,4.68736
D,35.6656
D,21.70903
A,63.98811
A,54.95945
C,43.57249
D,91.80471
C,14.62759
A,31.91942
C,9.8641
D,47.21776
B,48.8475
B,19.70237
D,75.18948
A,12.79967
C,52.45616
B,75.7592
C,31.21814
B,14.92529
C,71.05255
A,3.04094
A,42.33565
B,69.91694
A,58.66365
B,17.20541
A,47.54183
B,35.36189
A,28.42417
A,51.34104
A,16.72341
A,52.10781
B,62.00225
A,14.26092
A,54.03175
A,62.47953
D,8.81957
B,96.53971
D,87.95604
C,57.88785
D,0.01571
A,7.16931
B,40.77317
A,69.88863
B,91.39206
B,99.3159
A,79.39453
D,0.99424
C,64.49854
B,79.72132
C,52.32197
B,82.22993
C,88.18732
C,32.88909
D,96.45262
B,85.35842
B,65.56286
D,47.90411
D,98.77915
B,42.15518
B,88.31865
A,41.89746
C,69.5593
B,12.84482
D,64.24972
D,13.35071
A,45.78998
B,43.26809
D,45.91799
C,32.64434
A,70.15471
A,64.60213
A,17.63002
A,27.03
C,15.89833
C,70.93289
A,21.48309
A,47.27597
A,60.96673
B,85.43639
D,35.19157
B,29.75514
C,27.63417
D,29.30512
D,25.33715
A,2.42442
D,99.9536
D,11.74494
B,25.98444
D,51.27087
C,19.56442
D,41.64632
B,15.16552
A,71.0961
C,67.21577
D,21.11614
C,60.11788
A,2.88745
A,80.31977
C,59.26747
C,23.59069
D,27.8576
A,72.72779
C,73.29064
A,48.91697
A,61.12268
C,80.32417
C,14.94187
D,56.6759
A,37.03663
D,72.81809
A,4.14274
B,46.41953
D,82.25156
B,25.23997
D,85.8728
C,94.33421
D,64.73536
C,93.86559
B,95.92514
A,8.97951
D,40.06641
D,56.68367
B,18.20356
D,61.12412
D,33.3065
B,24.01139
D,7.84134
B,38.98286
A,97.97422
D,99.61451
D,6.6742
B,13.11269
B,58.80684
D,91.54976
B,75.88031
D,38.32492
A,41.42705
C,51.24936
C,52.20602
C,58.78352
A,44.32443
A,34.46602
C,55.19417
B,24.51832
B,60.81987
B,92.39281
C,39.09747
A,6.82982
C,13.13515
D,88.77173
B,59.21028
C,72.07072
A,30.11821
B,22.66517
A,51.32836
D,85.74404
C,73.11802
B,1.76548
C,79.78014
D,27.39602
B,60.11727
D,13.40141
D,33.96613
B,78.41818
D,43.19233
C,27.70874
B,26.3938
C,64.43589
B,86.96369
A,73.0038
A,48.19313
B,39.2794
B,23.43399
D,63.7316
A,40.85479
C,94.86018
A,85.79912
B,8.83019
C,91.77369
D,75.17049
B,93.50039
D,90.2572
A,32.487
B,91.75406
B,25.8754
A,0.04527
B,96.72771
D,56.3339
B,34.99279
D,4.00638
A,13.56368
C,25.55539
B,89.74074
A,66.16004
B,88.88441
B,74.70802
C,21.56727
B,32.50754
C,88.06675
D,73.31604
A,51.8043
A,95.18146
B,89.82024
A,69.77263
A,0.07342
D,2.14179
C,2.46072
B,80.22167
C,98.35558
D,37.57178
B,53.21427
D,21.46338
D,18.15673
B,83.59506
A,93.39123
C,71.58928
C,90.60904
C,28.84418
B,57.44471
B,39.08278
C,70.1455
D,94.53361
B,5.39805
B,96.58389
B,30.3098
A,2.94207
B,63.22191
A,97.39204
C,49.24682
C,21.9054
A,51.50702
B,53.13597
A,53.24474
D,71.50132
D,6.47581
A,54.18483
D,76.95389
B,67.37504
C,27.08412
A,89.57607
D,45.3179
A,48.25961
A,33.543
A,81.1832
A,8.89974
A,98.47724
C,40.89052
B,62.45966
B,21.8367
B,88.67434
A,38.29343
C,98.03091
C,33.14226
B,66.71527
A,50.8631
A,95.83364
D,84.6691
D,11.41597
A,50.08429
A,41.60265
C,36.83226
B,8.42487
A,22.37381
D,38.58691
C,41.4376
D,97.9356
C,88.97526
C,25.60078
C,98.88169
A,37.02523
B,33.04961
A,92.67893
B,61.9947
A,62.47078
B,25.81608
C,63.39284
A,85.05876
D,22.43119
B,93.60187
A,57.86037
B,6.37922
A,77.51801
B,20.74315
B,39.17595
A,96.0069
A,39.65053
B,34.51893
B,72.48328
D,51.49702
B,93.26819
D,65.06312
A,31.31786
D,27.05058
B,97.4321
D,30.61185
D,73.66963
A,46.17722
C,59.085
D,58.7556
B,33.81404
D,78.94442
A,73.37924
D,19.06749
A,90.88601
C,0.91462
C,17.08554
B,49.65903
D,11.36998
A,28.87402
C,69.17243
D,18.93237
B,95.18211
A,43.81039
D,17.76623
A,73.62958
B,89.42036
A,97.51923
D,95.22015
B,74.42328
B,48.70645
B,37.42158
D,0.48995
B,34.50733
D,37.28522
C,19.21457
C,57.99525
C,30.13799
D,90.44316
D,99.53991
D,57.90428
B,94.7703
D,4.87766
C,81.72496
C,92.03332
C,5.54417
C,53.49141
B,1.69462
D,52.77492
A,55.77576
A,77.48621
A,42.85439
B,72.62586
B,85.45118
B,8.95391
C,86.83273
B,56.87123
C,95.78385
A,51.59367
B,3.64284
C,4.38064
D,24.98945
C,90.66977
D,21.31888
A,85.80127
B,24.67918
A,36.16587
A,48.07419
B,38.62162
D,74.5854
C,55.48432
B,85.74877
D,79.92166
C,42.82191
A,4.26818
D,60.1417
C,20.3555
C,54.49249
D,22.68781
D,50.92752
B,77.38958
B,21.32179
D,49.62957
C,81.46332
A,93.83458
B,55.01899
B,73.69406
D,98.37205
C,25.44431
A,85.57416
A,72.30283
A,30.63539
A,18.18297
D,1.49091
A,44.08359
B,95.11442
C,54.62776
A,90.40531
A,98.34884
D,32.76667
A,13.37235
B,25.58818
B,0.30091
A,78.49227
D,33.19431
B,32.90152
B,21.23025
C,67.971
A,5.10153
C,6.92001
D,42.67963
B,73.7312
D,81.01071
C,1.40315
A,53.52909
B,8.49356
D,4.30921
C,13.69627
C,43.50445
A,94.76973
A,14.33567
B,40.77286
B,66.13872
D,77.52754
A,11.9353
C,10.95021
C,55.25539
D,91.1107
D,40.76187
B,86.05193
A,34.35912
A,76.77692
C,41.7114
A,47.91453
A,68.51068
B,55.47007
C,92.93452
A,6.71292
B,41.45849
D,98.51202
D,39.57652
B,72.75667
A,2.37076
D,47.82852
D,48.87698
C,15.76487
B,35.27233
A,93.44157
D,31.00119
D,40.51361
A,38.58317
C,20.84367
A,34.32456
B,27.92634
D,84.56878
D,76.8957
B,91.02741
C,69.41822
A,69.39254
C,89.38263
A,37.02664
C,59.03637
B,3.10382
B,24.06102
D,9.58838
D,11.52711
B,65.44449
A,91.41145
B,41.04327
C,63.63569
A,20.63116
B,92.60329
D,94.16864
D,61.48784
A,69.53293
B,51.33515
C,26.86823
A,75.89254
B,94.65204
B,68.19052
C,96.42771
B,15.23236
C,27.85893
C,6.63863
B,70.81968
A,15.54895
C,98.46194
A,56.78834
B,25.53167
D,31.21744
C,55.68037
C,90.35194
C,88.22989
A,84.63999
B,54.7047
B,78.69886
A,30.15316
A,1.45574
C,4.5756
C,31.31252
B,3.36806
C,8.27027
C,35.81922
D,1.66655
A,0.94148
D,36.36593
D,29.97419
A,50.8928
D,28.4622
D,83.3255
A,16.17485
B,25.33338
A,66.82755
C,73.34931
D,40.04016
D,34.46331
C,60.45237
D,72.89742
B,65.9905
D,70.996
B,62.81098
D,78.34039
B,75.92672
C,54.93607
B,76.50665
D,23.36857
B,20.20533
B,41.4261
B,56.91222
D,37.08204
D,50.79189
D,28.25932
A,75.25385
B,89.68419
C,6.55635
D,29.43321
C,49.04313
C,31.66256
B,77.68337
D,53.2154
C,88.68045
C,9.67634
A,40.16925
B,48.70924
B,62.06582
D,82.03655
C,94.99277
D,48.48406
A,60.74693
A,93.37707
D,42.79604
B,79.87487
A,75.68321
B,94.3562
D,57.62463
C,51.43974
B,69.10427
D,61.74901
D,31.59085
A,67.66681
C,64.70028
D,96.92431
C,70.71034
D,41.75272
C,94.87754
D,97.9709
B,84.24206
B,5.30517
B,37.16668
A,24.13723
A,99.87701
B,75.12603
A,81.98322
D,53.62147
C,62.38046
A,34.75747
C,76.70226
D,61.02321
C,60.17053
C,71.78751
C,3.59421
B,7.31065
C,11.22227
B,41.41853
C,17.3016
B,5.04274
B,75.52942
A,41.96956
D,84.63362
A,28.60888
D,71.20304
A,99.91552
A,90.47503
A,30.56859
A,65.76632
B,58.9263
B,31.36382
C,11.42585
B,31.55858
A,89.48708
A,29.96389
A,6.14035
A,99.36995
C,75.06904
C,75.3151
C,1.4081
A,4.7903
B,75.72541
D,60.71583
A,4.59668
B,69.53254
D,81.68126
B,97.55342
C,95.55153
C,46.19715
C,82.23531
D,63.45501
D,67.44087
B,88.78126
C,4.57127
B,36.01079
A,81.89361
D,17.61855
C,17.51095
B,22.25748
B,38.86119
C,53.95426
D,8.11801
C,38.59261
A,27.6361
B,48.56068
A,85.33528
D,32.40231
B,83.34802
A,41.42294
B,27.08878
A,44.15438
B,18.90422
D,12.20832
A,21.1043
D,21.29907
B,8.40905
C,62.77317
C,92.6507
C,83.67329
B,4.37002
C,55.88613
D,71.13723
B,27.50928
C,31.69014
C,67.64429
A,98.15424
B,82.1819
C,84.3616
A,39.22738
C,64.8271
C,79.19327
A,89.82596
C,85.01035
D,77.95079
B,87.87812
B,47.38656
B,16.57035
B,75.78767
D,10.87912
D,29.55522
B,15.69667
C,87.3545
C,60.8092
C,93.83842
B,48.30418
D,68.15624
A,17.37894
B,85.11499
D,45.36742
B,16.71013
D,11.41441
C,43.65462
B,22.63679
D,12.37051
B,31.29711
D,29.64397
C,37.25879
C,34.52224
C,10.31428
A,84.77115
B,72.5729
D,9.46466
D,69.00379
B,92.81233
C,2.37265
B,47.34761
B,65.71841
B,99.48007
C,52.8019
D,78.42585
B,83.05381
A,25.36502
B,69.62512
C,32.19347
A,58.07486
D,82.56408
D,17.2749
C,51.93223
B,8.88211
B,39.20415
D,29.12773
A,1.91574
D,22.0022
A,99.02323
C,35.77851
B,60.1062
C,2.26078
A,8.35099
D,75.639
C,62.59505
B,81.21926
A,37.32827
C,69.88484
B,77.89911
A,77.1273
D,19.22936
C,67.80432
B,20.89125
B,21.78931
A,53.12919
C,72.75962
C,20.94144
D,58.87126
B,20.46091
B,30.02923
C,56.09166
C,46.24289
B,92.20318
A,77.20245
D,17.84339
A,68.55332
B,46.68818
D,72.32172
D,55.75299
D,95.6629
B,88.15018
D,51.43961
A,2.6069
A,92.31173
A,91.72819
C,81.10488
D,6.93723
D,50.63255
B,23.3845
A,80.75425
C,90.2917
A,91.72022
C,89.18818
D,79.04359
C,9.81687
A,56.50036
A,40.43099
B,36.31431
C,54.60605
A,8.59298
A,26.58789
C,36.63143
C,79.57354
A,63.5777
C,3.39446
C,17.67
A,50.8721
B,61.34138
C,88.67816
D,87.42609
C,22.33772
D,94.89487
D,2.16382
D,97.71953
C,48.70263
D,21.81732
C,94.19623
C,77.50081
C,78.90415
D,0.80737
D,78.05041
C,32.30926
D,77.44097
C,6.26258
C,95.76876
C,71.90032
A,76.64544
A,5.14148
A,82.43276
D,20.82481
B,27.36247
A,19.76264
C,61.89956
A,3.83504
A,13.6852
B,8.47407
D,65.82822
C,71.1948
D,5.11661
A,20.25711
B,38.11935
D,91.92338
D,95.82134
B,37.02989
D,91.2977
D,19.65355
B,94.75658
B,15.39563
B,69.89932
C,6.52244
B,55.77475
D,61.1711
C,39.3547
C,38.50743
B,59.14889
C,92.42021
A,10.21964
A,41.9666
B,68.37465
A,33.31891
D,7.63706
D,3.57425
B,3.79585
A,42.80298
C,72.30854
D,50.88358
B,93.07961
D,7.16893
A,80.60178
D,51.80234
A,24.65011
C,55.89244
D,64.16611
D,50.22602
D,3.04575
B,52.34489
A,91.9958
B,80.97415
A,14.66185
A,32.50339
B,31.0518
C,86.9155
A,58.65202
B,32.73934
D,21.43137
C,27.68449
C,22.68822
C,91.31575
B,9.16385
D,16.86833
B,27.00346
C,59.12249
B,91.51722
B,40.6904
D,55.61883
D,30.14176
C,64.34868
A,34.29226
A,15.32659
A,57.54118
B,41.78706
B,91.04047
C,78.77248
B,59.10418
A,4.34807
B,16.58128
B,67.8885
A,9.70386
B,90.01797
D,86.33946
C,14.80313
A,94.95493
B,32.07208
D,72.94824
C,17.3519
C,96.35306
C,3.96749
A,86.49745
D,69.60824
D,97.1004
B,16.89371
B,84.59842
A,15.1334
D,2.8866
B,45.85875
A,49.14891
A,54.48096
B,43.89601
D,76.07967
B,62.2457
C,2.55093
D,49.71667
C,11.01424
C,46.76975
C,50.66449
A,66.49684
C,98.13811
A,70.82855
B,59.12913
B,56.70604
A,41.3384
B,52.90271
D,3.07828
C,80.77969
D,36.09695
C,80.57547
C,34.49255
B,58.34122
A,20.57594
D,1.98663
D,79.34427
B,11.51391
A,67.20624
D,24.0203
D,26.29237
B,38.75242
B,30.45959
C,43.9296
D,96.67651
A,85.76369
B,42.00033
B,18.31608
D,84.00152
B,34.11528
C,58.5218
C,17.62451
A,17.30249
A,74.51785
C,96.18667
D,69.01474
C,54.40774
B,3.68325
D,59.42117
D,21.54413
A,82.56697
C,62.02331
D,93.16593
D,2.66007
A,48.01883
C,2.91035
C,45.08704
A,8.33867
C,63.54396
B,75.44012
C,35.27406
D,28.8242
C,50.19859
A,29.574
D,14.63114
D,47.98064
D,75.18609
B,36.15887
A,18.30986
B,35.37573
B,54.3095
C,46.69865
C,39.50909
A,94.32714
A,17.13428
A,3.14366
B,3.56548
D,18.9588
A,4.43214
C,77.51593
D,0.24043
C,69.35362
D,74.58162
B,45.22125
B,83.85846
C,13.59457
C,98.32055
C,43.00318
D,39.84275
D,44.66317
C,3.7101
D,84.80627
A,35.77612
A,13.84056
A,25.71175
A,96.24165
B,0.83689
B,16.71653
A,99.69353
D,56.33501
A,63.15926
C,72.74627
A,69.03226
D,41.43067
A,82.9888
B,85.99303
C,76.70343
B,53.14747
B,66.97018
D,14.28562
B,87.53505
A,7.70196
D,77.04508
A,5.62849
C,21.87457
C,71.21339
C,93.73259
A,81.20771
A,64.33678
D,19.32569
C,91.55408
B,45.36811
D,74.25376
D,1.52041
A,6.45062
D,48.80374
C,65.86422
A,59.14762
D,68.47129
A,39.44887
B,1.43413
D,68.53436
A,46.92933
A,94.51174
D,60.61737
D,29.88453
B,63.01783
B,92.3603
D,26.53076
B,69.22753
C,7.57617
C,17.65905
A,72.37473
B,22.65761
B,71.87865
D,9.93438
B,58.91852
A,43.33897
C,61.84257
C,36.40259
C,5.29935
D,3.10578
C,44.8649
B,75.7646
C,16.83028
B,55.61016
C,5.60666
A,38.26095
D,24.76529
B,76.03048
A,87.90277
B,87.9841
B,47.72955
A,60.14353
C,75.23768
B,61.82409
C,66.76069
A,88.29211
C,98.57777
C,82.75583
B,36.22714
A,12.46416
D,44.25029
C,53.04517
D,0.53554
D,46.44756
D,89.60037
A,99.61024
A,19.37786
A,69.84429
C,17.8729
D,75.43915
B,78.08155
C,28.62076
A,61.34298
D,54.74893
C,9.16138
D,12.34858
D,70.90652
C,14.63271
B,1.6375
D,96.2685
A,47.26906
C,62.86132
A,87.23739
C,58.4996
A,96.30113
A,50.10704
B,96.21955
A,18.09
A,12.44142
C,63.15032
D,21.83528
A,65.96394
C,38.81609
B,83.88942
A,73.8344
A,35.18144
C,72.90789
C,42.57741
D,34.683
A,56.83261
B,36.8081
A,50.06272
D,76.40337
D,9.52559
C,24.07523
B,74.31264
A,60.80646
D,43.70022
A,54.46359
C,71.88928
B,39.63434
A,19.80992
C,70.9372
D,22.27779
C,29.92638
C,89.7594
C,92.33084
A,13.45217
A,70.65855
A,29.54064
A,90.59567
D,80.26458
B,91.66333
B,90.30255
A,83.03228
A,44.47134
B,43.05289
B,78.03311
D,14.92135
D,63.80847
B,36.03167
A,71.65034
A,53.65735
B,6.41007
B,38.2618
B,31.66609
C,35.34821
D,43.33385
C,82.72008
B,79.17331
B,86.37382
C,46.33956
D,92.66188
B,96.44334
D,73.00069
A,36.98432
C,75.34422
D,77.89743
B,65.97028
B,26.40172
B,20.14386
B,6.14011
C,91.20196
C,10.36953
B,8.47733
C,2.18612
C,59.69999
C,53.37328
B,70.79021
A,31.30052
B,20.37386
B,99.04091
B,32.59188
C,62.39369
C,9.44984
C,68.66655
D,31.40993
